stage	event	scene	document	buffer	a	b	c
Atlas Publication Begin	152	11	6	6	84	0	0
Atlas Publication Complete	152	11	6	6	0	0	0
Event Dispatch Begin	152	0	5	5	5	7	0
Frame Build Begin	152	11	6	6	1148190720	1141309440	0
Frame Build Complete	152	11	6	6	90	84	0
Glyph Atlas Summary	152	11	6	6	94	0	75264
Layout Cache Summary	152	11	6	6	4	1	3072
State Mutation Complete	152	0	6	6	1	1	8
Text Summary	152	11	6	6	3	0	1
Visible Layout Begin	152	11	6	6	0	0	0
Visible Layout Complete	152	11	6	6	5	0	0
Event Dispatch Begin	153	0	6	6	8	8	0
State Mutation Complete	153	0	6	6	0	0	8
Event Dispatch Begin	154	0	6	6	1	8	0
State Mutation Complete	154	0	6	6	0	0	8
Event Dispatch Begin	155	0	6	6	8	8	0
State Mutation Complete	155	0	6	6	0	0	8
Event Dispatch Begin	156	0	6	6	1	8	0
State Mutation Complete	156	0	6	6	0	0	8
Event Dispatch Begin	157	0	6	6	8	8	0
State Mutation Complete	157	0	6	6	0	0	8
Event Dispatch Begin	158	0	6	6	1	8	0
State Mutation Complete	158	0	6	6	0	0	8
Event Dispatch Begin	159	0	6	6	8	8	0
State Mutation Complete	159	0	6	6	0	0	8
Event Dispatch Begin	160	0	6	6	1	8	0
State Mutation Complete	160	0	6	6	0	0	8
Event Dispatch Begin	161	0	6	6	8	8	0
State Mutation Complete	161	0	6	6	0	0	8
Atlas Publication Begin	162	12	7	7	85	0	0
Atlas Publication Complete	162	12	7	7	0	0	0
Event Dispatch Begin	162	0	6	6	5	8	0
Frame Build Begin	162	12	7	7	1148190720	1141309440	0
Frame Build Complete	162	12	7	7	91	85	0
Glyph Atlas Summary	162	12	7	7	95	0	75264
Layout Cache Summary	162	12	7	7	4	1	3136
State Mutation Complete	162	0	7	7	1	1	9
Text Summary	162	12	7	7	3	0	1
Visible Layout Begin	162	12	7	7	0	0	0
Visible Layout Complete	162	12	7	7	5	0	0
Event Dispatch Begin	163	0	7	7	8	9	0
State Mutation Complete	163	0	7	7	0	0	9
Event Dispatch Begin	164	0	7	7	1	9	0
State Mutation Complete	164	0	7	7	0	0	9
Event Dispatch Begin	165	0	7	7	8	9	0
State Mutation Complete	165	0	7	7	0	0	9
Event Dispatch Begin	166	0	7	7	1	9	0
State Mutation Complete	166	0	7	7	0	0	9
Event Dispatch Begin	167	0	7	7	8	9	0
State Mutation Complete	167	0	7	7	0	0	9
Event Dispatch Begin	168	0	7	7	1	9	0
State Mutation Complete	168	0	7	7	0	0	9
Event Dispatch Begin	169	0	7	7	8	9	0
State Mutation Complete	169	0	7	7	0	0	9
Event Dispatch Begin	170	0	7	7	1	9	0
State Mutation Complete	170	0	7	7	0	0	9
Event Dispatch Begin	171	0	7	7	8	9	0
State Mutation Complete	171	0	7	7	0	0	9
Atlas Publication Begin	172	13	8	8	86	0	0
Atlas Publication Complete	172	13	8	8	0	0	0
